,size,cutoff,rdkit_time_ms,rdkit_std_ms,nvmol_time_ms,nvmol_std_ms
0,1000,1e-07,2.7540086666666665,0.03876175925086763,0.3985493333333333,0.004553816006628092
1,2000,1e-07,8.490262,0.17463797973140513,0.992828,0.013199189369048389
2,4000,1e-07,28.617593666666668,0.3859696131228756,5.344593666666667,0.0050714974996433635
3,6000,1e-07,62.107255,0.47209118062580524,15.631252666666667,0.035443238004197956
4,8000,1e-07,109.95068466666667,0.3918128032486376,38.09762033333334,0.016145391919127335
5,10000,1e-07,179.03391766666667,0.35230837865080017,79.39863133333333,0.032535682876224103
6,1000,0.1,3.8862666666666663,0.06997955664017567,0.9406683333333333,0.006221306418715893
7,2000,0.1,12.164962,0.1286873019558133,2.1216463333333335,0.006928753631706708
8,4000,0.1,48.159166,0.9066502658335241,12.874724,0.054208136148245004
9,6000,0.1,98.819194,0.824806081010561,33.214998666666666,0.095633481700826
10,8000,0.1,186.91327066666665,1.0343243370810833,78.82638933333332,0.04824126546386979
11,10000,0.1,225.925869,2.6365470513852016,94.166106,0.04625647775177008
12,1000,0.2,4.939188,0.10779018164007333,1.505084,0.011292096557622358
13,2000,0.2,16.704294,0.2057985401422145,3.5717506666666665,0.007857821298270631
14,4000,0.2,74.11202766666668,0.518426411033963,23.56497566666667,0.047755782430565996
15,6000,0.2,179.48184666666666,2.743488900715818,71.037503,0.2253433755375708
16,8000,0.2,386.2419363333333,40.98203447603797,171.75380366666667,0.009078398916598063
17,10000,0.2,342.537636,6.307238616154034,137.371784,0.061070869853528914
18,1000,1.1,60.00044533333334,0.5855360772496336,0.14130333333333334,0.012924997313560864
19,2000,1.1,251.97434366666667,2.503928724108088,0.17015633333333335,0.012496701973809818
20,4000,1.1,1020.3668333333334,6.8053097881233064,0.2595193333333333,0.006393752176061322
21,6000,1.1,2370.9272606666664,39.17799254727038,0.38323266666666667,0.007811547876203679
22,8000,1.1,4329.148937666667,118.6323793688516,0.555569,0.011668773143165764
23,10000,1.1,6628.794699666667,225.90901161559114,0.7346653333333334,0.005666157447708475
