pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback
766,521,722,2868885,5837062,COC1=C(C)C(C(=O)N(C)CC(=O)NC2=CC=C(F)C=C2)=CC=C1Br,[N-]=[N+]=NCCCCC(=O)N[C@H](CC(=O)N1CCC(=C(F)F)CC1)CC1CC1,COc1c(Br)ccc(C(=O)N(C)CC(=O)Nc2ccc(F)cc2)c1C,[N-]=[N+]=NCCCCC(=O)N[C@H](CC(=O)N1CCC(=C(F)F)CC1)CC1CC1,25,26,27,28,38.235935,1.832213,12,11,12,11,1,0,0,1,0
767,279,425,4764529,9958200,CCN(CC)CCC(=O)NC1CCC12CCN(C(=O)C1=CNC=C1)CC2,COC1=CN=CC(NC(=O)N(CCC2=CNC3=CC=CC=C23)CC(C)C2CCOCC2)=C1,CCN(CC)CCC(=O)NC1CCC12CCN(C(=O)c1cc[nH]c1)CC2,COc1cncc(NC(=O)N(CCc2c[nH]c3ccccc23)CC(C)C2CCOCC2)c1,26,28,32,35,262.992584,5.240366,17,16,17,16,1,0,0,1,0
768,854,494,3570458,2566066,C[C@H]1CCO[C@H]1C(=O)NC[C@H]1CCCCN1C(=O)/C=C/C1=CNC=N1,CCCCCC1CN(C(=O)[C@H]2C[C@H](NC(=O)[C@H](O)C(F)(F)F)C2)C1,C[C@H]1CCO[C@H]1C(=O)NC[C@H]1CCCCN1C(=O)/C=C/c1c[nH]cn1,CCCCCC1CN(C(=O)[C@H]2C[C@H](NC(=O)[C@H](O)C(F)(F)F)C2)C1,25,27,24,25,37.319378,2.319967,13,12,13,12,1,0,0,1,0
769,483,249,7811093,4332357,CN1C=NC=C1CN(CC1=CC=NN1CC(F)(F)F)CC1(CF)CCCCC1,CC(CC(=O)NC1(C(=O)NC(C)CCN(C)C)CCCCC1)CN(C)C,Cn1cncc1CN(Cc1ccnn1CC(F)(F)F)CC1(CF)CCCCC1,CC(CC(=O)NC1(C(=O)NC(C)CCN(C)C)CCCCC1)CN(C)C,28,30,26,26,18.277012,1.342022,13,13,13,13,1,0,0,1,0
770,467,564,4755768,7531033,CC1=CC(C)=C(C(=O)N[C@H](CNC(=O)/C=C/C2=COC=C2)CC(C)C)O1,CCC1=CC(C(=O)NCC2(C3=CN(CC4=CC=NC=N4)N=N3)CC2)=CC=C1C,Cc1cc(C)c(C(=O)N[C@H](CNC(=O)/C=C/c2ccoc2)CC(C)C)o1,CCc1cc(C(=O)NCC2(c3cn(Cc4ccncn4)nn3)CC2)ccc1C,26,27,28,31,15.758659,0.749810,12,11,12,11,1,0,0,1,0
771,148,392,5386831,5671171,O=C(NC[C@H]1C[C@@H]1C1=C(F)C=CC=C1F)N[C@H](C1=CC=CC=C1)C1CCC1,CC1(C)CC=C(C(=O)N[C@H]2C[C@@](C)(C(=O)N[C@H]3CCC[C@H]3N=[N+]=[N-])C2)CC1,O=C(NC[C@H]1C[C@@H]1c1c(F)cccc1F)N[C@H](c1ccccc1)C1CCC1,CC1(C)CC=C(C(=O)N[C@H]2C[C@@](C)(C(=O)N[C@H]3CCC[C@H]3N=[N+]=[N-])C2)CC1,27,30,27,29,56.854095,2.446446,10,9,10,9,1,0,0,1,0
772,195,943,9276851,2359342,CC1CN(C(=O)C2=CC=C(NC(=O)C3=NC(C4=CN(C)N=C4)=CC=C3)C=C2)CC(C)O1,O=C(NCCNC(=O)C1=CC(Br)=CC=C1)C(=O)N1C2CCC1CC2,CC1CN(C(=O)c2ccc(NC(=O)c3cccc(-c4cnn(C)c4)n3)cc2)CC(C)O1,O=C(NCCNC(=O)c1cccc(Br)c1)C(=O)N1C2CCC1CC2,31,34,24,26,31.037828,1.056253,13,13,13,13,1,0,0,1,0
773,613,520,7752066,4123390,COC(=O)C1=CC(CN(C[C@@H]2CCC[C@H]2O)C(=O)/C=C/C2=CC=CC=N2)=CN1,O=[N+]([O-])C1=CN(CC(O)CN2CC3CC2(C(O)C2=CC=CC=C2)C3)N=C1,COC(=O)c1cc(CN(C[C@@H]2CCC[C@H]2O)C(=O)/C=C/c2ccccn2)c[nH]1,O=[N+]([O-])c1cnn(CC(O)CN2CC3CC2(C(O)c2ccccc2)C3)c1,28,30,26,29,109.602753,3.892100,15,14,15,14,1,0,0,1,0
774,764,900,3570718,3234087,O=C(NCC1CN(C(=O)CCN2C=CN=C2)CCO1)C1=CSN=C1Cl,CCCCSCCC(=O)NC(C)C(C)C(=O)NC1CC2(C1)CN(C)C2,O=C(NCC1CN(C(=O)CCn2ccnc2)CCO1)c1csnc1Cl,CCCCSCCC(=O)NC(C)C(C)C(=O)NC1CC2(C1)CN(C)C2,25,27,25,26,34.505245,1.885260,13,12,13,12,1,0,0,1,0
775,139,884,8598954,7734203,COC1=CC=CC(CN(CC2=NOC(C3CC3)=C2C)C(=O)/C=C/C2=COC=C2)=C1,CCC1=C(C(=O)N(CCC2=NC(C)=CC=N2)CC(C)CCC=C(C)C)C=NN1,COc1cccc(CN(Cc2noc(C3CC3)c2C)C(=O)/C=C/c2ccoc2)c1,CCc1[nH]ncc1C(=O)N(CCc1nccc(C)n1)CC(C)CCC=C(C)C,29,32,28,29,68.996880,2.538021,14,13,14,13,1,0,0,1,0
