pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback
0,654,114,5240309,5937853,CC1=C(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)C=CC=C1S(N)(=O)=O,CCN1N=CC(C)=C1C(=O)NCC(C)CN(C)C(=O)C1=CSC(C(C)=O)=N1,Cc1c(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)cccc1S(N)(=O)=O,CCn1ncc(C)c1C(=O)NCC(C)CN(C)C(=O)c1csc(C(C)=O)n1,27,28,27,28,36.957291,5.576051,12,11,12,11,1,0,0,1,0
1,25,759,7637054,8626595,C=C1CC2CC1CN2C1=NC(N2CCOC(C3=CC=C(C)S3)C2)=NC(NC)=N1,CC1=CC(C(=O)N(CC2=C3C=CN(C)C3=CC=C2)C[C@@H]2CCCC[C@H]2O)=CC=N1,C=C1CC2CC1CN2c1nc(NC)nc(N2CCOC(c3ccc(C)s3)C2)n1,Cc1cc(C(=O)N(Cc2cccc3c2ccn3C)C[C@@H]2CCCC[C@H]2O)ccn1,28,32,29,32,46.802723,3.370679,11,10,11,10,1,0,0,1,0
2,281,250,7360629,970568,CCC1=NC(C)=C(C(=O)N2CCN(C(=O)C=CC3=CSC=C3)CC23CCC3)O1,CC1=CC=C(F)C=C1NC(=O)CC(C1=CC=CC=C1)C(C)C,CCc1nc(C)c(C(=O)N2CCN(C(=O)C=Cc3ccsc3)CC23CCC3)o1,Cc1ccc(F)cc1NC(=O)CC(c1ccccc1)C(C)C,28,31,22,23,47.173111,2.487237,11,10,11,10,1,0,0,1,0
3,228,142,4759077,3301945,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,CC1=C(C(=O)N2CC(C)(C)C[C@H]2C(=O)NCC(C)OCCO)N=CO1,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,Cc1ocnc1C(=O)N1CC(C)(C)C[C@H]1C(=O)NCC(C)OCCO,26,27,25,26,27.384075,3.697939,12,11,12,11,1,0,0,1,0
4,754,104,9496029,6937058,CC1=NC(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)=C2C=NNC2=N1,CC1=CN=C(O)C(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)=C1,Cc1nc(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)c2cn[nH]c2n1,Cc1cnc(O)c(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)c1,31,34,28,30,77.457542,3.823375,16,15,16,15,1,0,0,1,0
5,692,758,2627573,9782512,NC1=CC=C(C(=O)N2C[C@@H]3CN(C(=O)C4=NSC=C4)C[C@@H]3C2)C=N1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)C3=CC(N(C)C)=CC=N3)CC2CO)C1,Nc1ccc(C(=O)N2C[C@@H]3CN(C(=O)c4ccsn4)C[C@@H]3C2)cn1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)c3cc(N(C)C)ccn3)CC2CO)C1,24,27,32,35,304.417267,5.707219,20,20,20,20,1,0,0,1,0
6,913,558,9854679,2672686,CCC(C)(CC1=CN(C2CCCCNC2=O)N=N1)C(=O)N1CCC(C)=C(C2=CC=CO2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,CCC(C)(Cc1cn(C2CCCCNC2=O)nn1)C(=O)N1CCC(C)=C(c2ccco2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,32,35,24,26,44.389797,2.047961,12,11,12,11,1,0,0,1,0
7,89,604,164641,2155819,CCOCC[C@@H](C)NCC1=CNC(C(=O)OC)=C1,CCOC1=CC=C(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)C=C1Cl,CCOCC[C@@H](C)NCc1c[nH]c(C(=O)OC)c1,CCOc1ccc(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)cc1Cl,18,18,24,25,8.206499,1.536560,9,8,9,8,1,0,0,1,0
8,432,32,4727751,2646999,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)C2=CC=CC=C2)C1,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)c2ccccc2)C1,26,27,24,25,73.842278,3.927172,17,16,17,16,1,0,0,1,0
9,30,95,9383559,9309198,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(CC3=CC(C#N)=CC=C3Br)C2)CCC1,COC1=CC=C(CC2CCN(C(=O)C3=CC=C(N4C=NC5=CC=CC=C54)C=C3)C2)C=C1,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(Cc3cc(C#N)ccc3Br)C2)CCC1,COc1ccc(CC2CCN(C(=O)c3ccc(-n4cnc5ccccc54)cc3)C2)cc1,31,33,31,35,300.491364,7.146929,19,18,19,18,1,0,0,1,0
10,223,238,4544882,5416414,CC(=O)OCC1CN(C(=O)[C@@H]2[C@@H](C)OCCN2C(=O)CC2=NOC=C2)C1,CC1=CC=C(CN2CCCC2)C=C1NC(=O)C(=O)NCC1=CN=CC=C1O,CC(=O)OCC1CN(C(=O)[C@@H]2[C@@H](C)OCCN2C(=O)Cc2ccon2)C1,Cc1ccc(CN2CCCC2)cc1NC(=O)C(=O)NCc1cnccc1O,26,28,27,29,52.486820,3.692560,15,14,15,14,1,0,0,1,0
11,517,616,8356445,7793318,CC1=C(C)C(C(=O)N2CCCN(C(=O)C3=CN=C4N=CC=CC4=C3)C[C@@H]2C)=CS1,CCC1=CC=CC(CCN(CC2=NC=C(OC)N=C2)CC2=NN=C(CC)N2)=C1,Cc1scc(C(=O)N2CCCN(C(=O)c3cnc4ncccc4c3)C[C@@H]2C)c1C,CCc1cccc(CCN(Cc2cnc(OC)cn2)Cc2nnc(CC)[nH]2)c1,29,32,28,30,105.679642,4.985779,17,16,17,16,1,0,0,1,0
12,27,574,6857256,5611587,CC(=O)N[C@@H](C(=O)N1CCC(C(=O)NC2CCN3N=NN=C3C2)CC1)C(C)C,CCC1=C(C(=O)N2CC3(C(=O)NCCC4=CSC=C4)CC2CCO3)N=CO1,CC(=O)N[C@@H](C(=O)N1CCC(C(=O)NC2CCn3nnnc3C2)CC1)C(C)C,CCc1ocnc1C(=O)N1CC2(C(=O)NCCc3ccsc3)CC1CCO2,28,30,27,30,506.287048,33.365072,18,17,18,17,1,0,0,1,0
13,203,733,5641571,5747447,C=CCC(CNC(=O)CCC1=NN(C)C=C1)C(=O)N1CCC2(CCCC2)C1,CC1=NON=C1CC(=O)N1C[C@H]2CCC[C@H]2[C@H]1C(=O)N(C)[C@@H]1CCC[C@H]1O,C=CCC(CNC(=O)CCc1ccn(C)n1)C(=O)N1CCC2(CCCC2)C1,Cc1nonc1CC(=O)N1C[C@H]2CCC[C@H]2[C@H]1C(=O)N(C)[C@@H]1CCC[C@H]1O,27,29,27,30,54.006065,2.108796,14,14,14,14,1,0,0,1,0
14,665,718,7440053,1002008,O=C(CC1=CC=CC=C1OC1CCCC1)OC/C=C/C1=CC=C2OCOC2=C1,CC1=NN=C(CNC(=O)C2=C(C)C(C)(C)OC2=O)N1C1CC1,O=C(Cc1ccccc1OC1CCCC1)OC/C=C/c1ccc2c(c1)OCO2,CC1=C(C(=O)NCc2nnc(C)n2C2CC2)C(=O)OC1(C)C,28,31,22,24,7.695634,0.500685,8,7,8,7,1,0,0,1,0
15,558,429,2672686,2046013,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,O=C(C1=CC=NC2=NC=NN12)N1CCC(COCC(F)(F)F)CC1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,O=C(c1ccnc2ncnn12)N1CCC(COCC(F)(F)F)CC1,24,26,24,26,14.479816,0.744406,11,10,11,10,1,0,0,1,0
16,225,459,9996204,8067682,CCOC(=O)C1=C(C2=CN=CO2)N(C2=CC(C)=CC(C)=C2)C(=S)NC1C1=CC(C2CC2)=NO1,CCSC(C(=O)N1CC2(CCCC2)C1C(=O)NCC1=NC(CO)=CC=C1)C(C)C,CCOC(=O)C1=C(c2cnco2)N(c2cc(C)cc(C)c2)C(=S)NC1c1cc(C2CC2)no1,CCSC(C(=O)N1CC2(CCCC2)C1C(=O)NCc1cccc(CO)n1)C(C)C,33,37,29,31,79.522125,3.747997,12,11,12,11,1,0,0,1,0
17,603,284,2234872,8276759,CC1=CC(CN(C)C(=O)NC2=CN(C(C)(C)C)N=C2C(N)=O)=NO1,CCCC1=CC=C(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)C=C1,Cc1cc(CN(C)C(=O)Nc2cn(C(C)(C)C)nc2C(N)=O)no1,CCCc1ccc(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)cc1,24,25,29,32,22.497736,1.084575,10,9,10,9,1,0,0,1,0
18,828,890,5398052,302330,COC1=CC(CCNC(=O)N(CC2=CC=CS2)C2CCOC2)=CC(F)=C1F,NC1=CN=C(Br)C=C1CN1CCC(C(O)CO)CC1,COc1cc(CCNC(=O)N(Cc2cccs2)C2CCOC2)cc(F)c1F,Nc1cnc(Br)cc1CN1CCC(C(O)CO)CC1,27,29,19,20,18.450212,1.385551,10,9,10,9,1,0,0,1,0
19,6,777,9819790,2724797,CC1=CC=C(C(C)C)C(C(=O)NC[C@H]2CC[C@H](CN3C=C(CN4C=CN=C4)N=N3)CC2)=C1,CCCCC1=CC(NCC[C@H](C)NC(=O)[C@H]2CCC[C@@H]2O)=NC=N1,Cc1ccc(C(C)C)c(C(=O)NC[C@H]2CC[C@H](Cn3cc(Cn4ccnc4)nn3)CC2)c1,CCCCc1cc(NCC[C@H](C)NC(=O)[C@H]2CCC[C@@H]2O)ncn1,32,35,24,25,39.192001,1.467959,14,13,14,13,1,0,0,1,0
20,825,163,6852006,3471882,CC1=NOC(CC(=O)N2CC(OCCC(=O)NCC3=CC=C(F)N=C3C)C2)=C1,CCC1(C(=O)NCC(O)C(=O)OC)CCN(C(=O)[C@H](C)C2CC2)CC1,Cc1cc(CC(=O)N2CC(OCCC(=O)NCc3ccc(F)nc3C)C2)on1,CCC1(C(=O)NCC(O)C(=O)OC)CCN(C(=O)[C@H](C)C2CC2)CC1,28,30,25,26,33.252369,1.934183,12,11,12,11,1,0,0,1,0
21,714,432,7488944,4727751,CCC(C)C1=NC=CC(NC[C@H]2CCC[C@@H](NC(=O)CN3N=CC=C3C)C2)=N1,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,CCC(C)c1nccc(NC[C@H]2CCC[C@@H](NC(=O)Cn3nccc3C)C2)n1,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,28,30,26,27,21.604168,1.271729,13,12,13,12,1,0,0,1,0
22,348,284,2791183,8276759,CCC1=CC=C(CN(CC(Cl)(Cl)Cl)C(=O)CNC(=O)CC(C)C)O1,CCCC1=CC=C(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)C=C1,CCc1ccc(CN(CC(Cl)(Cl)Cl)C(=O)CNC(=O)CC(C)C)o1,CCCc1ccc(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)cc1,24,24,29,32,20.140465,0.615859,18,17,18,17,1,0,0,1,0
23,159,220,9521402,402122,C[C@H](CNC(=O)C1=CC=CC=C1OCC1=CN(C2=CC=C(Cl)C=C2)N=N1)OC(C)(C)C,CC(C(=O)NCC(C)(C)C1=NOC=N1)N1CCCC1=O,C[C@H](CNC(=O)c1ccccc1OCc1cn(-c2ccc(Cl)cc2)nn1)OC(C)(C)C,CC(C(=O)NCC(C)(C)c1ncon1)N1CCCC1=O,31,33,20,21,14.825869,0.987337,8,7,8,7,1,0,0,1,0
24,980,781,5308922,9990567,O=C(CCN1N=NC2=CC=CC=C2C1=O)N1CCC2(CCCCCC2)CC1,COC(=O)C1=CC=C(NC(=O)C2CCN(C(=O)C3=CC=C(F)C=C3F)CC2)C2=CC=NC=C12,O=C(CCn1nnc2ccccc2c1=O)N1CCC2(CCCCCC2)CC1,COC(=O)c1ccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)c2ccncc12,27,30,33,36,138.811401,5.010881,13,12,13,12,1,0,0,1,0
25,344,104,9516268,6937058,N#CC[C@@H](O)CN1C=C(C2=CC=CC(OCC(=O)NC3CCC4=NC=CN4C3)=C2)N=N1,CC1=CN=C(O)C(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)=C1,N#CC[C@@H](O)Cn1cc(-c2cccc(OCC(=O)NC3CCc4nccn4C3)c2)nn1,Cc1cnc(O)c(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)c1,31,34,28,30,104.491730,5.240149,14,13,14,13,1,0,0,1,0
26,94,389,4847972,7130093,CS(=O)CCC(=O)N1CCC[C@@H]1CN1C=C(C2=CC=CC(F)=C2N)N=N1,CCCC1=CN=NC(C(=O)N[C@H]2COC[C@H]2N2C=C(CC(OC)OC)N=N2)=C1,CS(=O)CCC(=O)N1CCC[C@@H]1Cn1cc(-c2cccc(F)c2N)nn1,CCCc1cnnc(C(=O)N[C@H]2COC[C@H]2n2cc(CC(OC)OC)nn2)c1,26,28,28,30,240.295486,10.717552,17,16,17,16,1,0,0,1,0
27,99,367,2993846,9447173,CCN1CCN(C2=CC=C(CNS(=O)(=O)CC(C)(C)CF)C=N2)CC1,CN(CC1(O)CCN(C(=O)C2=CC=C([N+](=O)[O-])N2C)CC1)C(=O)[C@H](O)C1=CC=CC=C1,CCN1CCN(c2ccc(CNS(=O)(=O)CC(C)(C)CF)cn2)CC1,CN(CC1(O)CCN(C(=O)c2ccc([N+](=O)[O-])n2C)CC1)C(=O)[C@H](O)c1ccccc1,25,26,31,33,81.177406,3.865183,12,11,12,11,1,0,0,1,0
28,867,352,4152808,4876269,CC(C)CN1N=C(C2=CC=CC=C2)C=C1NC(=O)N(C)C1(CO)COC1,CCC1=NSC(N2CCC[C@H]2CNC(=O)CC2=CC=C3OCCC3=C2)=N1,CC(C)Cn1nc(-c2ccccc2)cc1NC(=O)N(C)C1(CO)COC1,CCc1nsc(N2CCC[C@H]2CNC(=O)Cc2ccc3c(c2)CCO3)n1,26,28,26,29,42.531834,1.762728,13,12,13,12,1,0,0,1,0
29,618,270,5085485,4467697,CCC1=CN=C(C(=O)N(CCC2(CO)CCC2)C[C@@H]2COC[C@H]2C)N=C1,CCC1=C(C(=O)N2CC(C)C2C(=O)NCC2CCCCCCC2)SC=N1,CCc1cnc(C(=O)N(CCC2(CO)CCC2)C[C@@H]2COC[C@H]2C)nc1,CCc1ncsc1C(=O)N1CC(C)C1C(=O)NCC1CCCCCCC1,26,28,26,28,210.653351,5.529408,17,16,17,16,1,0,0,1,0
30,826,44,4191891,7233874,CCC1=CC=CC(C2(CNC(=O)N3CCC4=C(C3)C(Br)=CC=C4)CC2)=C1,C#CCC(CC(F)F)C(=O)NC1(C2CCCN2C(=O)CC2=CC=C(C)O2)CC1,CCc1cccc(C2(CNC(=O)N3CCc4cccc(Br)c4C3)CC2)c1,C#CCC(CC(F)F)C(=O)NC1(C2CCCN2C(=O)Cc2ccc(C)o2)CC1,26,29,28,30,72.816193,3.688044,11,10,11,10,1,0,0,1,0
31,747,470,7094745,3166266,CCC1=CN=CC(C(=O)NC(C(=O)NCC2=NN(C(C)C)C=N2)C(C)(C)C)=C1,N[C@@H](CC1=CC=CC(NC(=O)C2=C(F)C=C(CO)C=C2F)=C1)C(=O)O,CCc1cncc(C(=O)NC(C(=O)NCc2ncn(C(C)C)n2)C(C)(C)C)c1,N[C@@H](Cc1cccc(NC(=O)c2c(F)cc(CO)cc2F)c1)C(=O)O,28,29,25,26,56.113529,2.667168,13,12,13,12,1,0,0,1,0
32,549,127,2397574,2363158,CC1CC(C(=O)N2CCOC(CC(=O)NCC3(F)CCC3)C2)=NO1,CN(CC1(C#N)CCC1)C(=O)C(=O)NCC1=CC=C(C2CC2)C=C1,CC1CC(C(=O)N2CCOC(CC(=O)NCC3(F)CCC3)C2)=NO1,CN(CC1(C#N)CCC1)C(=O)C(=O)NCc1ccc(C2CC2)cc1,24,26,24,26,11.641816,1.033147,9,9,9,9,1,0,0,1,0
33,996,944,6242893,2165776,C[C@@H](N)CN1C=C(CCCCC(=O)N2CCC3=CC(F)=CC(Cl)=C3C2)N=N1,CCOCC(C)(C)NC(=O)NC1=CN(C)N=C1C(=O)N1CCCC1,C[C@@H](N)Cn1cc(CCCCC(=O)N2CCc3cc(F)cc(Cl)c3C2)nn1,CCOCC(C)(C)NC(=O)Nc1cn(C)nc1C(=O)N1CCCC1,27,29,24,25,16.147081,1.181657,10,9,10,9,1,0,0,1,0
34,387,80,109700,36366,O=C(CC1CC1(Br)Br)NNC1=CC=C(F)C(Cl)=C1,NC(=O)CCN1CCC(C2CCCNC2)C1,O=C(CC1CC1(Br)Br)NNc1ccc(F)c(Cl)c1,NC(=O)CCN1CCC(C2CCCNC2)C1,18,19,16,17,7.599764,0.594926,7,6,7,6,1,0,0,1,0
35,565,300,1184618,2370681,CCC(O)(CC)CNC(=O)C(=O)NC1=NC(COC)=CC=C1,O=C(N[C@@H](CC1=CC=C(F)C=C1)C(=O)O)C1=CN2C=CN=C2C=C1,CCC(O)(CC)CNC(=O)C(=O)Nc1cccc(COC)n1,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)O)c1ccc2nccn2c1,22,22,24,26,23.835865,1.534728,11,10,11,10,1,0,0,1,0
36,849,643,7821504,3790728,CC1(C)OCC(CCN(CC2=CC=C3CCOC3=C2)CC2C3CCC2CC3)O1,CC(CNC1=NC(N)=NC(N[C@H]2CCN(CC(F)F)C2)=N1)C(C)(C)C,CC1(C)OCC(CCN(Cc2ccc3c(c2)OCC3)CC2C3CCC2CC3)O1,CC(CNc1nc(N)nc(N[C@H]2CCN(CC(F)F)C2)n1)C(C)(C)C,28,32,25,26,10.810297,0.923970,8,7,8,7,1,0,0,1,0
37,633,906,3234345,80879,CC(C)C1=C(C(=O)N2CCOC(C(=O)NCC3(CO)CC3)C2)N=CO1,CC(C)(NCC1=CC(O)=CC=C1)C1=NC=CS1,CC(C)c1ocnc1C(=O)N1CCOC(C(=O)NCC2(CO)CC2)C1,CC(C)(NCc1cccc(O)c1)c1nccs1,25,27,17,18,15.367185,0.872961,8,7,8,7,1,0,0,1,0
38,882,370,9656200,9041022,COC1=C(C)C=CC=C1CN(CC1=CC=C(N2C=CN=C2)C=C1)CC1OCCC12CC2,CC1=CC=C([N+](=O)[O-])C(NC2COCCCN(C(=O)C[C@@H](C)C3=CC=CC=C3)C2)=N1,COc1c(C)cccc1CN(Cc1ccc(-n2ccnc2)cc1)CC1OCCC12CC2,Cc1ccc([N+](=O)[O-])c(NC2COCCCN(C(=O)C[C@@H](C)c3ccccc3)C2)n1,31,35,30,32,123.946815,5.146903,15,14,15,14,1,0,0,1,0
39,591,196,990018,9156181,N#CC1=C(NC(=O)C2=NC=C(Br)C=C2C(F)F)C=CC=C1Cl,C[C@H]1CN(C2=NC3=CC=CC=C3N=C2NCCC2=CC=CC(C3CC3)=C2)C[C@H](C)O1,N#Cc1c(Cl)cccc1NC(=O)c1ncc(Br)cc1C(F)F,C[C@H]1CN(c2nc3ccccc3nc2NCCc2cccc(C3CC3)c2)C[C@H](C)O1,22,23,30,34,26.563126,1.053186,16,15,16,15,1,0,0,1,0
40,721,71,8841705,4769611,CC1=C(C(=O)O)C=NN1C1=CC=CC(NS(=O)(=O)CC2=CC=C(C(C)(F)F)C=C2)=C1,CC(C)(C)CCCCC(=O)N1CC(CCNC(=O)C2=CC=NC=C2F)C1,Cc1c(C(=O)O)cnn1-c1cccc(NS(=O)(=O)Cc2ccc(C(C)(F)F)cc2)c1,CC(C)(C)CCCCC(=O)N1CC(CCNC(=O)c2ccncc2F)C1,30,32,26,27,37.434631,1.677636,11,10,11,10,1,0,0,1,0
41,46,677,4193236,4192068,COC(=O)[C@H]1CC[C@@H](CNC(=O)NCC2=CC=C3NCCOC3=C2)CC1,O=C(NCC1=NOC(C2CCOCC2)=N1)NC[C@@]12CCCC[C@]1(CO)C2,COC(=O)[C@H]1CC[C@@H](CNC(=O)NCc2ccc3c(c2)OCCN3)CC1,O=C(NCc1noc(C2CCOCC2)n1)NC[C@@]12CCCC[C@]1(CO)C2,26,28,26,29,168.097244,6.602739,14,13,14,13,1,0,0,1,0
42,233,791,5376646,9428881,COCC(NC(=O)NC(C)CS(=O)(=O)C1=CC=C(C)C=C1)C1=CN(C)N=C1,CC1=CC(C(=O)N2[C@H](CNC(=O)C3=CC=C(N=[N+]=[N-])C=C3)C[C@@H]3CCC[C@@H]32)=NN=C1C,COCC(NC(=O)NC(C)CS(=O)(=O)c1ccc(C)cc1)c1cnn(C)c1,Cc1cc(C(=O)N2[C@H](CNC(=O)c3ccc(N=[N+]=[N-])cc3)C[C@@H]3CCC[C@@H]32)nnc1C,27,28,31,34,11.089402,0.803625,8,7,8,7,1,0,0,1,0
43,296,81,872045,7702525,CO[C@@H](CCNC(=O)CC1(C)CC1)C(=O)NC1=CSC=C1,CCC1(CN(CC2=NC(N(C)C)=NC=C2)C(=O)CCNC(=O)NC)CCCO1,CO[C@@H](CCNC(=O)CC1(C)CC1)C(=O)Nc1ccsc1,CCC1(CN(Cc2ccnc(N(C)C)n2)C(=O)CCNC(=O)NC)CCCO1,21,22,28,29,13.817866,0.662758,12,11,12,11,1,0,0,1,0
44,875,238,6254698,5416414,C=CC(C)OCC(=O)N1CCC(C2=CN(CC3CCC(F)(F)CC3)N=N2)C1,CC1=CC=C(CN2CCCC2)C=C1NC(=O)C(=O)NCC1=CN=CC=C1O,C=CC(C)OCC(=O)N1CCC(c2cn(CC3CCC(F)(F)CC3)nn2)C1,Cc1ccc(CN2CCCC2)cc1NC(=O)C(=O)NCc1cnccc1O,27,29,27,29,50.116081,2.826465,13,12,13,12,1,0,0,1,0
45,887,103,3833951,3743337,CCC1=CC=C(C(=O)N(CCC2(C)OCCO2)CC2=CSC(Cl)=C2)N1,CC(C)CS(=O)(=O)N1CC2(CCC(CNC(=O)CC[C@@H]3C[C@H]3C)O2)C1,CCc1ccc(C(=O)N(CCC2(C)OCCO2)Cc2csc(Cl)c2)[nH]1,CC(C)CS(=O)(=O)N1CC2(CCC(CNC(=O)CC[C@@H]3C[C@H]3C)O2)C1,25,27,25,27,26.424400,1.414766,13,12,13,12,1,0,0,1,0
46,389,284,7130093,8276759,CCCC1=CN=NC(C(=O)N[C@H]2COC[C@H]2N2C=C(CC(OC)OC)N=N2)=C1,CCCC1=CC=C(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)C=C1,CCCc1cnnc(C(=O)N[C@H]2COC[C@H]2n2cc(CC(OC)OC)nn2)c1,CCCc1ccc(C(=O)N2CC[C@H](CO)[C@@H](NC(=O)C3C[C@H]4CC[C@H]4C3)C2)cc1,28,30,29,32,168.229706,6.092764,17,16,17,16,1,0,0,1,0
47,464,650,5336484,2369078,O=C(CN1CCC(OCC2=CN=CS2)C1)NCCN1CCC2=CC=CC=C21,CC1(C(=O)O)CCC2=CC(C3=CC=C(F)C(C(F)(F)F)=C3)=CC=C21,O=C(CN1CCC(OCc2cncs2)C1)NCCN1CCc2ccccc21,CC1(C(=O)O)CCc2cc(-c3ccc(F)c(C(F)(F)F)c3)ccc21,27,30,24,26,114.186104,5.436667,8,8,8,8,1,0,0,1,0
48,854,373,3570458,4205027,C[C@H]1CCO[C@H]1C(=O)NC[C@H]1CCCCN1C(=O)/C=C/C1=CNC=N1,O=C(NC1=CC=C(N2CCCCCC2)C=C1)C(=O)N1CCCCC(O)C1,C[C@H]1CCO[C@H]1C(=O)NC[C@H]1CCCCN1C(=O)/C=C/c1c[nH]cn1,O=C(Nc1ccc(N2CCCCCC2)cc1)C(=O)N1CCCCC(O)C1,25,27,26,28,26.475544,1.254431,15,14,15,14,1,0,0,1,0
49,166,379,9224839,1962038,CN1N=C(CN(CCC2CCOC2(C)C)CC2=CN=C(C3=CC=CN=C3)S2)C=C1Cl,C=C(Br)CNC1=NC(N(C)CCN2C=NC=N2)=NC2=C1CSC2,Cn1nc(CN(CCC2CCOC2(C)C)Cc2cnc(-c3cccnc3)s2)cc1Cl,C=C(Br)CNc1nc(N(C)CCn2cncn2)nc2c1CSC2,30,33,23,25,24.534498,0.850621,11,10,11,10,1,0,0,1,0
50,363,214,8246786,4116319,CCN(C(=O)CC1=CC(C)=CC=C1C)C1CCC(NC(=O)C2=CC=CN=N2)CC1,CC(C)(CNC(=O)C1CC(=O)N(C2=CC=CC=C2Cl)C1)OCC(F)(F)F,CCN(C(=O)Cc1cc(C)ccc1C)C1CCC(NC(=O)c2cccnn2)CC1,CC(C)(CNC(=O)C1CC(=O)N(c2ccccc2Cl)C1)OCC(F)(F)F,29,31,26,27,26.201857,0.859313,16,15,16,15,1,0,0,1,0
51,686,273,2090176,7258588,CC1=CC(O)=CC(C)=C1CC(=O)NCCCC1=CC=C(Cl)C=C1Cl,CCC(CC(=O)NCC1CN(C(=O)C2=NC=CN=C2OC)CC12CCC2)OC,Cc1cc(O)cc(C)c1CC(=O)NCCCc1ccc(Cl)cc1Cl,CCC(CC(=O)NCC1CN(C(=O)c2nccnc2OC)CC12CCC2)OC,24,25,28,30,51.952602,3.306144,13,12,13,12,1,0,0,1,0
52,718,959,1002008,3892785,CC1=NN=C(CNC(=O)C2=C(C)C(C)(C)OC2=O)N1C1CC1,C=CN1C=C(CN(CC2=C(Cl)C=CC=C2Cl)C[C@H]2OCC[C@H]2C)C=N1,CC1=C(C(=O)NCc2nnc(C)n2C2CC2)C(=O)OC1(C)C,C=Cn1cc(CN(Cc2c(Cl)cccc2Cl)C[C@H]2OCC[C@H]2C)cn1,22,24,25,27,7.862309,0.723615,8,7,8,7,1,0,0,1,0
53,699,663,2927270,5891057,COC(=O)COC1=CC=C(C(=O)N(C)C2=C(C)C=C(C)C=C2C)C=C1,COC1=CC(C(=O)N2C[C@@H]3[C@H](C2)[C@H]3NC(=O)C2=NN(C)C(C)=C2)=CC=C1C,COC(=O)COc1ccc(C(=O)N(C)c2c(C)cc(C)cc2C)cc1,COc1cc(C(=O)N2C[C@@H]3[C@H](C2)[C@H]3NC(=O)c2cc(C)n(C)n2)ccc1C,25,26,27,30,443.722961,20.147228,14,14,14,14,1,0,0,1,0
